knowest	know	106	ok (corpus know:881 vs knowe:0)
gavest	gave	40	irregular
mayest	may	40	irregular
sayest	say	37	irregular
seest	see	36	irregular
camest	came	27	irregular
dwellest	dwell	23	ok
thinkest	think	21	ok
sawest	saw	20	irregular
comest	come	18	ok
goest	go	18	irregular
mightest	might	16	irregular
judgest	judge	16	ok
lovest	love	15	ok
speakest	speak	14	ok
makest	make	13	ok
madest	made	12	irregular
sittest	sit	11	irregular
wentest	went	9	irregular
walkest	walk	9	ok
givest	give	9	ok
bringest	bring	8	ok
trustest	trust	8	ok
seekest	seek	7	ok
keepest	keep	7	ok
meanest	mean	7	ok
liest	lie	7	irregular
knewest	knew	7	irregular
hearest	hear	7	ok
teachest	teach	7	ok (corpus teach:111 vs teache:0)
standest	stand	6	ok
askest	ask	6	ok
hatest	hate	6	ok (corpus hate:78 vs hat:0)
broughtest	brought	6	ok
believest	believe	6	ok
persecutest	persecute	6	ok
sleepest	sleep	5	ok
molest	mole	5	ok
answerest	answer	5	ok
destroyest	destroy	5	ok
shouldest	should	5	irregular
oughtest	ought	4	irregular
fearest	fear	4	ok
clearest	clear	4	ok
commandest	command	4	ok
brokest	broke	4	ok
takest	take	4	ok
offerest	offer	4	ok
sentest	sent	4	ok
visitest	visit	4	ok (corpus visit:73 vs visite:0)
livest	live	4	ok (corpus live:264 vs liv:0)
pleasest	please	4	ok
spokest	spoke	4	ok
bravest	brave	4	ok
heardest	heard	4	irregular
shewest	show	4	irregular
deliverest	deliver	4	ok
turnest	turn	4	ok
demandest	demand	3	ok
strikest	strike	3	ok
criest	cry	3	ok
reapest	reap	3	ok
sendest	send	3	ok
buildest	build	3	ok
stoutest	stout	3	ok
weepest	weep	3	ok
carest	care	3	ok (corpus care:64 vs car:0)
rulest	rule	3	ok
savest	save	3	ok
leadest	lead	3	ok
tookest	took	3	irregular
owest	owe	3	irregular
bearest	bear	3	ok
wouldest	would	3	irregular
sowest	sow	3	ok
desirest	desire	2	ok
promisest	promise	2	ok
blessest	bless	2	ok
goodliest	goodly	2	ok
chiefest	chief	2	ok
sufferest	suffer	2	ok
liftest	lift	2	ok
troublest	trouble	2	ok
eatest	eat	2	ok
provest	prove	2	ok
scourgest	scourge	2	ok
rememberest	remember	2	ok
reprovest	reprove	2	ok
stretchest	stretch	2	ok
considerest	consider	2	ok
remainest	remain	2	ok
openest	open	2	ok
chastisest	chastise	2	ok
wantest	want	2	ok
abhorrest	abhor	2	ok
understandest	understand	2	ok
despisest	despise	2	ok
becamest	became	2	irregular
settest	set	2	irregular
sattest	sat	2	ok
servest	serve	2	ok
savourest	savour	2	ok
killest	kill	2	ok (corpus kill:255 vs kil:0)
stonest	stone	2	ok
readest	read	2	ok
committest	commit	2	ok
chargest	charge	1	ok
drawest	draw	1	ok
dealest	deal	1	ok
refusest	refuse	1	ok
sworest	swore	1	ok
renderest	render	1	ok
beatest	beat	1	ok
fewest	few	1	ok
risest	rise	1	ok
vowest	vow	1	ok
perceivest	perceive	1	ok
possessest	possess	1	ok
treadest	tread	1	ok
rightest	right	1	ok
wrongest	wrong	1	ok
plattest	platt	1	AMBIGUOUS [('platt', 0), ('plat', 0)]
fastenest	fasten	1	ok
slewest	slew	1	ok
fightest	fight	1	ok
disturbest	disturb	1	ok
governest	govern	1	ok
provokest	provoke	1	ok
darest	dare	1	ok (corpus dare:14 vs dar:0)
leddest	led	1	irregular
helpest	help	1	ok
feignest	feign	1	ok
chosest	chose	1	ok
threwest	threw	1	ok
leftest	left	1	ok
forgivest	forgive	1	ok
pourest	pour	1	ok
storest	store	1	ok
hirest	hire	1	ok
inquirest	inquire	1	ok
carriest	carry	1	ok (corpus carry:124 vs carrie:0)
imaginest	imagine	1	ok
forsakest	forsake	1	ok
humblest	humble	1	ok
faintest	faint	1	ok
tormentest	torment	1	ok
renewest	renew	1	ok
multipliest	multiply	1	ok
hidest	hide	1	irregular
pursuest	pursue	1	ok
writest	write	1	ok (corpus write:95 vs writ:0)
imitatest	imitate	1	ok
cleanest	clean	1	ok
begannest	began	1	irregular
willest	will	1	ok
lightest	light	1	ok
avengest	avenge	1	ok
subduest	subdue	1	ok
forgettest	forget	1	ok
thoughtest	thought	1	ok
preparest	prepare	1	ok
directest	direct	1	ok
enlightenest	enlighten	1	ok
castest	cast	1	ok (corpus cast:572 vs caste:0)
appeasest	appease	1	ok
framest	frame	1	ok (corpus frame:6 vs fram:0)
endurest	endure	1	ok
coverest	cover	1	ok
waterest	water	1	ok
fillest	fill	1	ok
runnest	run	1	ok
awakest	awake	1	ok
labourest	labour	1	ok
feedest	feed	1	ok
overlookest	overlook	1	ok
sparest	spare	1	ok (corpus spare:55 vs spar:0)
admonishest	admonish	1	ok
orderest	order	1	ok
convincest	convince	1	ok
disposest	dispose	1	ok
lendest	lend	1	ok
meetest	meet	1	ok
prayest	pray	1	ok
receivest	receive	1	ok
spoilest	spoil	1	ok
begettest	beget	1	irregular
clothest	cloth	1	AMBIGUOUS [('cloth', 16), ('clothe', 16)]
deckest	deck	1	ok (corpus deck:1 vs decke:0)
paintest	paint	1	ok
triest	try	1	ok (corpus try:27 vs tri:0)
comparest	compare	1	ok
returnest	return	1	ok
tellest	tell	1	ok
gloriest	glory	1	ok
endeavourest	?	1	no dictionary stem
dashest	dash	1	ok
corruptest	corrupt	1	ok
drewest	drew	1	ok
mournest	mourn	1	ok
removest	remove	1	ok
fattest	fat	1	ok
doest	do	1	irregular
weakenest	weaken	1	ok
suffocatest	suffocate	1	ok
truest	true	1	ok
findest	find	1	ok
stoodest	stood	1	ok
passest	pass	1	ok (corpus pass:552 vs passe:0)
lookest	look	1	ok
struckest	struck	1	ok
fiercest	fierce	1	ok
fastest	fast	1	ok
besoughtest	besought	1	ok
gatherest	gather	1	ok
callest	call	1	ok (corpus call:221 vs cal:0)
regardest	regard	1	ok
reproachest	reproach	1	ok
deniest	deny	1	ok
talkest	talk	1	ok
blasphemest	blaspheme	1	ok
needest	need	1	ok
tarriest	tarry	1	ok (corpus tarry:19 vs tarri:0)
persuadest	persuade	1	ok
condemnest	condemn	1	ok
treasurest	treasure	1	ok
restest	rest	1	ok
approvest	approve	1	ok
preachest	preach	1	ok
stealest	steal	1	ok
dishonourest	?	1	no dictionary stem
repliest	reply	1	ok
travailest	travail	1	ok
